label,sentence
1,"It does it's job, heats up quickly, and creates beautiful curls/waves. Definitely recommend it, especially given its wonderful price. I have average hair and use the iron at heat setting 17."
1,"I used the product because my skin was in bad shape. I love it, it had brightened my complextion and helped clear up all my skin problmes. My skin feels relaxed and clean with out the tight dry feeling. It also doubles and a makeup remover and it does a great job."
1,"I use this gel for everything skin (it moisturizes and soothes) and hair (its all natural feels good on the scalp and gives it a healthy shine. I read in a book about its great effects on hair).Also unlike with other brands Lily of the Valley is certified organic 99% Aloe Vera, while most other brands contain mostly water and only small traces of Aloe Vera. This is an absolutely great product."
1,"I added this oil to my bath.  It smells great, slightly of lemon and mint.  It separated out on the surface of my bath (not surprising since it is an oil).  It did leave my skin very soft.It kind of clings to the bath tub though and it was tough to get it cleaned off of the surface of the tub.  Left the tub very greasy.  It might work better as a massage oil or as something you apply directly to your skin."
0,"I have oily, oily, oily skin.  I would wash my face with this scrub, go to bed and then wake-up and my face would be extremely oily.  It's like my oily glands went into overdrive.  I didn't notice any of the skin brightening claims.  The only thing I love about this product is the smell.  I love the smell and that's it!"
1,I chose this soap because it doesn't have the chemicals that regular soaps have.  It lathers up nice and washes away without any film on my skin.  The smell is very pleasant as well.  I would recommend this to others.
1,I've used this moisturizer for a couple of years.  Great daytime moisturizing product.  Not at all greasy.  Easily absorbed and does a great job.  With Subscribe and Save the price and convenience only make this better!
1,"Moisturizing beads turn an ordinary bath into something luxurious.  The water feels wonderful on your skin, and the fragrance just hightens the sense of being pampered.The bonus?  You'll get out of the tub with skin that's velvety and moist, rather than taut and dehydrated."
1,I have coarse hair and this brush gets the job done. I'm really happy that I made this purchase and I would recommend this product to anybody with long hair.
1,"I use Lorraine Massey's ""Curly Girl"" method to take care of my kinky-curly 4a hair and adapted her conditioner washes (or washing with conditioner in place of shampoo). The theory is that shampoo has too many drying surfactants. Conditioner, on the other hand is not so drying, and still has the ability to cleanse.)Suave's Tropical Coconut conditioner is wonderful for many purposes. Add amla, maka, kalpi tone or other ayurvedic powders to Suave Tropical Moisture, and leave it on overnight for a really good deep conditioning.This conditioner also helps to detangle my hair when I comb it under a stream of water during my showers. It smells sweet, like coconuts (which probably comes from the fragrance and coconut extract). The consistency of this conditioner is a medium-thick consistency. It leaves my hair soft, moisturized and with a slight sheen after use.This conditioner is not ""natural"" but it has humectants like cetyl alcohol, glycerin and honey. It also contains silk proteins (to strengthen hair). Rosemary and nettle are included to promote scalp health and hair growth. Good conditioner for a low price.Note, just because it works for my hair, it may not work for you. Please do a test to see if this one works for you.Ingredients: Water (Aqua), Cetyl Alcohol, Cetrimonium Chloride, Potassium Chloride, Fragrance (Parfum), Distearyldimonium Chloride, Disodium EDTA, Glycerin, 2-Bromo-2-Nitropropane-1,3-Diol, Methylchloroisothiazolinone, Methylisothiazolinone, Propylene Glycol,Trocopheryl Acetate [Vitamin E Acetate], Silk Amino Acids, Honey, Urtica Dioica (Nettle) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Cocos Nucifera (Coconut) Extract"
1,it doesn't wear well under make-up. It's just a little oily. Other than that...I love this product. I use it mainly on my neck and chest (and on my face on my days off) and it has evened out my skin tone and faded my sun-spots ALOT. Especially on my chest...HUGE difference from a few years ago! It really is a great All-in-One Product- I've been using it for years and haven't found a better one yet. I'll keep on buying it!
1,This is a very preety color that works for a variety of skin tones. I am a blk woman about Whtiney Houstan's completion btw and this color looks wonderful on me.
1,"If you have PUPPs, I am so sorry. I've been there. So bad that when my husband was putting steroid cream on me, I turned around and he was actually crying. My midwife at one checkup called the doctor and didn't realize she left the door open a crack and I heard her say, ""I've never seen it this bad! Ever!"" So yeah. Bad. And it can last for a few weeks after you deliver (mine did) which I didn't know until my doula told me -- so in the end I'm glad I didn't get induced early, but I certainly considered it. A lot. The oral steroids which I held off until week 38 (I wasn't sleeping much by then so there was not much choice) did help a ton, but before then this soap helped (although it was terribly drying so use a very rich bath oil and cream afterwards). And to sleep a few hours I actually would take a hot bath scrubbing with a brush and this soap -- which would make the itch worse (the theory is, when that much histamine is released all at once, your body then fights it for a few hours at least) and that is how I was able to sleep. But I don't recommend it unless you're about to lose your tentative grip on reality. The steroid cream really did nothing (but make my husband cry lol). The oral steroids were amazing and I'm glad I waited so long because my DD has no ill effects. I also have NO scarring despite my itching in my sleep wherever I could reach. So it will not last and you will barely remember it a year or more down the road. And even though mine lingered in a few areas after delivery, it was nowhere near as bad as week 35-38! Hang in there, Momma! Try this. And try to remember, it does get better!"
1,"Great stuff.  If you have blemishes, this works and clears in a month with twice a day application.  In day time I use as smashbox. spf 20 over top of it."
0,"I used to really love Bare Minerals..... until I found out about the ingredient Bismuth Oxychloride. At first my face LOVED this stuff. But after a few months of using it I noticed that when I wore it my face would be itchier then usual. I also started breaking out a LOT more then usual. It wasn't until I did some investigative work that I found out about that Bismuth ingredient and how heavy it is on your face. The whole reason you have to BUFF the makeup on is because the Bismuth Oxychloride is so heavy that it needs to be PUSHED into your skin. I noticed that my makeup felt and eventually looked like it slid off my face BECAUSE of how heavy it really is (you wouldn't think it was a heavy makeup being that it's mineral powder!)I stopped using this stuff and IMMEDIATELY saw a difference in my face. It went from being ruddy looking to clean and clear and glowing. I switched my makeup to Alima Mineral makeup and WHAT a difference! For one thing you don't have to BUFF the stuff onto your face, and I feel you get SO much more powder for the price (Which is about the same as Bare Minerals!) The whole reason it feels like you get so much more is because you use a lot LESS! I LOVE Alima Mineral Makeup!"
1,"I normally don't like acne medications - they dry out your skin and then your face is a flaky mess.  With this stuff, you just apply a little dab to each pimple and it starts to work within 24 hrs - no flaking or irritation.  For a small pimple, applying it once a day is plenty; for something more severe, I usually apply 2-3 times per day.  Either way, the pimple completely clears up within a few days (hurray!)."
1,I keep coming back to the EO products for my showering needs. The scents are not strong but just enough Aroma-Escape therapy. Its a quality *alternative to shampooing & no'poo. Would like to see larger sizes.
1,I BOUGHT THIS FOR MY WIFE AND SHE LOVED. RETINOL CORREXION WORK'S GREAT. IT IS A VERY GOOD PRODUCT.THANK YOU AGAIN.
1,"If you want something soothing, something that makes you feel very clean, and something that can take all your makeup off without any residue.... you'll like this."
1,This is a great and natural product for oily skin. Just make sure to dilute it in water to avoid a skin burn.
1,I always seem to get pimples on my chin when I stress out. Well this has always gotten rid of them for me. I don't use it continuously but when I do the pimples go away. I love it!I compared it to other products and this is the only product that contains 10-percent benzoyl peroxide. Other acne products usually contain .5 - 2% Salicylic acid which for me doesn't get rid of pimples.
1,"such awesome moisture spray, spray a few times after washing face, dont even need a moisturizer of lotion, this keeps my face very soft and quenched."
1,"I tried several other types of cotton rounds/squares, but these won hands down.  And you get a TON of squares, so economical as well as functional.  I order two packages at a time and used them for everything from cleansing to applying makeup.  There are 165 squares in each package."
1,I love this product. unequivocally think this is the best eye makeup remover there. I recommend it! Now some of my friends have asked and are equal to or more happy than me for the purchase.
1,Absorbs into skin within 5 minutes (just &#34;work it&#34; into the skin a bit).  I especially love oils during the winter months since skin can become dry due to indoor heating.  I love to use this just after showering.
1,"It does work on my skin! Skin is soft, looks a little bit younger too :)"
1,"Of course it stinks and takes forever, but so far, the perm has lasted for a couple of months on my daughter's very long hair. I'm impressed."
1,"My hair is completely damage because of I straightened way too much! I started using Aveeno and OH BOY! what a difference it was!, my hair has gone back to it's black, soft, natural, and beautiful look! A MUST HAVE PRODUCT!I use the body wash and conditioner as well, and OMG!"
1,"This product is lovely for winter skin. It is thick though, so I mixed it into my favorite lotion to add even more moisture. I have eczema on my feet that has really cleared up since I've added this to my lotion. For the price, it is definitely worth a try if you are experiencing a puzzling skin issue."
0,"I applied the cream correctly every time, and it soothes effectively and provides a protective barrier for the skin, BUT does not deliver moisture to the skin The product doesn't have much moisture in it in the first place because it is ""concentrated"" apparently but i need moisture!! WHY ELSE WOULD I BUY HAND CREAM? obviously i want to moisturize my dry hands.The texture is grainy, I'm guessing it's the concentrated bits of dried cream or something, but it's very unpleasant feeling. It smells like plastic even though it's fragrance free."
1,This is a well constructed brush that gives the sensation of a head massage with every stroke. Seems like it will last for forever.
1,"Love, love, love these headbands. They DO NOT hurt anywhere on my head and they stay put!!  So easy to put on and never any need to readjust them."
1,"I do not use the Obagi line, however, I did years ago. The line I currently use (for four years) does not have a toner and I wanted to include in my daily skin routine.  After reading all the reviews and ingredients I thought I try Obagi.  The scent is pleasant and it felt good on my skin.  Unfortunately, after one full day of use (morning & night) it made my skin too dry due to the witch hazel. I was hoping with aloe vera in the ingredients it would've helped but it didn't.  I'm bummed!  I still believe Obagi is a good line -- it's just didn't work for me."
1,I have used witch hazel on my face for years now and when I saw this one with the rose in it I was really excited.  While I have oily skin this will clear it up and last for a little while but I notice my skin going back to really oily more so than I did with the Dickinson's original Witch Hazel.  The smell is great but I don't think my skin likes this one.
1,This is not easy to find in drug stores.  Fragrance free.  No nonsense.  All their fragrance free stuff is excellent.  I think the quality is better than Curel.
1,"Bought this for my sister as a gift for her birthday since she is in love with this scent and she was very happy, price was perfect and was shipped fast."
1,this soap smell so good;i wish I had ordered more; definetly make your body feel smooth and silky; great buy
1,"This is an ok moisturizing lotion, but Neutrogena has others, that are even better. Their oil-free moisture lotion seems to go on too thick (compared to other products) and gives my skin a greasy, shiny, look when worn under makeup. I use it instead as a nighttime moisturizing cr&egrave;me before bed (because of it's thick consistency and shine).There are times when my skin gets especially dry and the moisture provided here, would not be enough. I would have to keep re-applying and re-applying on my especially dry skin, sometimes many times throughout the day. (I would need a more intense moisturizing product during those times). The moisture provided from this product isn't always enough.Neutrogena has a lot of very excellent skin moisturizing products. I also use their ""Healthy Defense daily moisturizer"" with tint, to use underneath makeup and add a touch of color to the face. That one goes on a little thick too, but it's worth it to have a natural glow. And it is more of a matte finish, without the oil or shine.My favorite is the ""Neutrogena Visibly Even moisturizer"" which I am able to apply both day and night, as it goes on very smooth, thin, and light. I find it most excellent for daytime use and it even provides a nice healthy glow. The ""visibly even""  Neutrogena product has added essential soy's and extra moisturizing ingredients to deal with even the driest of skins. It contains just the right amount of moisturizers to help my skin on the most driest of days, without being too thick and creamy, or greasy. It also covers skin blotches and dark spots as well.Before purchasing this facial moisturizer for the first time, I would take a look at some others that are out there. Do some comparasing and get the product that is right for you. There are so many out there to choose from, and Neutrogena, in particular, offers a wide array of skin products, for practically any skin type. This model is just their most basic one."
1,"I have used this perfume since I have 17 and I never tire of it, is really great ... and I will continue buying it at this store because they have an excellent service! Thanks very grateful!"
1,"I am a woman of color who has single-handedly managed to ruin her hair over a number of years. My hair was so damaged from heat styling, relaxers and weaves that I ran out of ideas. I decided to eliminate the problems one at a time. I quit relaxing, then I gave myself a break from all the weaving and eased off on the heat styling. My hair started to grow healthily but I was lacking a great shampoo to go with my new regime. I tried this shampoo not expecting too much because I have wasted a lot of money before and never had the results I needed but I have got to tell you. I am so glad I did because after a few washes I noticed my hair texture was softer and there was little to no shedding! I am now addicted to Aphogee products, I decided to invest in a whole range of other products from them and I couldn't be happier!"
1,"I have been using it to create soft waves or curls on my whole head. I had to turn the heat down otherwise the curls are too tight. But I feel that whatever your needs are, this would do it. I have hair just past my shoulder blades & it works very well on it."
1,"It suds up, has a weak scent that does not last  at all. I am sorry I spent money on it.It is overpriced. I will never order from this brand line again."
1,"I LOVE this polish!  Its classic and pretty for the spring/summer, but I also wear it all year round. It's my go-to color! And perfect for every occasion!  Looks great with shorter nails!"
1,This is one of my favorite PRT products. I use it every morning as part of my skin care regimen. It helps keep my skin clear and fresh. Just an all around great BHA product! Will definitely buy another bottle when I run out.
1,"I have fine hair and already own a Sonia Kashuk paddle brush that has a mixture of boar and nylon bristles, so I figured this brush would work great too.  The boar bristles in this brush are great for distributing oils and the nylon bristles are great for grabbing onto my hair (which is thick even though it's fine).  I also like that this brush does not cause static flyaways or pull and tug at my hair.  This is a great, affordable brush that makes blowouts so much easier.Important notes: brushes with natural bristles are recommended for all hair types as they do less damage to hair.  Also, if you were wondering what size to get, the smaller the diameter of the brush, the more lift and volume it provides."
1,"I was pleasantly surprised with this one. Feels very light and I think it really did make my skin look better. Just try it. With the prices here on Amazon, you can't afford not to. Go on just try it."
1,"This is one of the best ones I have used, It really works and I have used it now for over 4 yearsTracie Bobb, Philadelphia, Pa."
1,"For things like BB cream, it works okay.But if you wear eye makeup and lipstick, specially the red ones, use makeup remover."
1,This is the best pore cleaner.  Look who makes it.  All there products are wonderful and will not ever change.  I would recommend.
1,This product really takes the gunk off my face.  I have been wearing Liquid eyeliner and that new gel liner in black a lot and when I use other cleansers for my face I still look like a raccoon under my eyes and residual makeup stays...but not with this product.I love to wear makeup and I must admit I dont normally take it off at night because Im too tired-but this product make its so easy to take my makeup off easily and with little effort.It is a foam pump but it comes out with a slightly creamy consistency which works very well.the only gripe I have with this product is that it doesnt feel refreshing after you clean your face-it just does the job I think it would be nice if it had a cooling effect to it.
0,"I bought this thinking it would be as fragrant as other oils that I have used.  Not so.  I put a small amount of this on right after I got it, which was fast, and you could smell it for a few minutes.  Then nothing.  I thought maybe I didn't put enough on, so I reapplied.  Same thing happened, even though I used more the second time.  I emailed the company to see if it was possible to get an out dated or bad batch.  They wrote back and told me that their oils aren't like other ones and you need to apply it 4-5 times to get the fragrance to last.  Does anyone else see something wrong with that?!  Seems ridiculous to me.  Anyway, I'm not going to send it back so I guess I'll just use it when I want to smell it for a few minutes.  Wish I would have known because I wouldn't have gotten it or done business with this company."
1,I installed this mirror to make it easier for me to braid my hair.  I love it.  It doesn't seem like the most sturdy construction but has already lasted a year with regular use and no problems.
1,I am glad I found this product. It's very refreshing and cleanses my face really well and it doesn't dry up the skin. I used to have so many pimples in my forehead but they are gone now. I use it in the morning or night before going to bed. It also smells great... like roses!
1,"I got a packet of this in a product sample box and thought I'd give it a go. I had a small whitehead forming that was painful and red. By the time the product had dried on my skin, it had drained, and the next morning it was healing. I've never had a blemish with such a short lifespan!This product draws oil out of your pores like nothing else I've tried. My skin is left soft and supple. I usually throw on alpha hydroxy moisturizer right after, and haven't noticed any adverse affects from that. The morning after I use this on any blemishes, they are greatly improved and healing at a much quicker pace than without.I didn't have any irritation or redness when I used it, but my husband tried it on a spot and did have redness afterward. he said he did have a bit of tingling, which I've never had.This is the best clay mask I've ever used, and the price is just an unexpected bonus.If I'm in a hurry, I'll throw it on my problem areas and jump in the tub and wipe it off when it dries. It does a good job of evening out my oiliness, and keeping any blemishes at bay."
0,"I purchased this at a local store and since I absolutely love lime and lemon scents, I figured this was going to be very special.  Unfortunately, my bottle has zero scent. It doesn't smell like anything at all.  I really wish I had pulled the tab before purchase and smelled.  It bubbles up just like all philosophy 3-in-1 gels and leaves you feeling soft and moisturized.  There just is no scent and lets face it that is what draws most of us to the philosophy line is that great smell.  All this being said, from the other reviews I gather I am in the minority and have to figure that the bottle I received was defective.  Most of the time if I purchase a philosophy scent that I don't love I will pass it along to one of my daughters but this one I simply threw out."
1,Very moisturizing and great protection against the elements at a reasonable price. I have sensitive skin that irritates easily and this has always been kind to it.
0,You cannot use this under make up you can not use this at all. Now I sound like Dr. Suess lol. It peels off as you rub it in I was not happy w/ this at all
1,This instant heat hot brush heats up almost instantly! In less than 30 seconds I would say. Keeps my hair curly. Recommend!
1,"I discovered this color on what was my never ending search for the perfect bright copper red hair color. I found it once at  Target, then when I went back to get more, they were sold out. I went to every drugstore in the area for months and no one ever has it in stock. Finally I did an internet search and have been ordering it on automatic delivery ever since. The color is not for the faint of heart-it definitely gets noticed. I love it. I am stopped regularly by men-and women and complimented. There is no comparable product out there. I even went to a beauty outlet and worked with a sales person but the color came out more pink than copper. This is so much easier."
1,"I first stumbled into the world of essential oils back in 1990 when I needed a part-time job and there was an opening for ""Weekends Only"" at a tiny Aromatherapy store in Lincoln Park, Chicago. Back in those days, very few people had even heard of the word and thought FRAGRANCE oils to be synonymous with ESSENTIAL OILS.  It was an invaluable experience working in that store and it changed my life in regards to taking charge of my PERSONAL wellness through the use of Essential Oils.NO DRUG IS A PANACEA OR MAGIC BULLET FOR EVERYONE!!!! I state this clearly because of the few negative reviews that all the various company's that sell Tea Tree Oil have received. For instance, I'm allergic to Peroxide. The pills Asprin and Tylenol have zero effect on me. So, if you have NEVER used Tea Tree Oil, BUY THE SMALLEST BOTTLE YOU CAN FIND AND TRY IT OUT ON YOURSELF! If you're as lucky as I am, it will be your Go-To Treatment for 99% of ""What Ails You.""I've tried many a company's Tea Tree Oil and have finally settled on THIS brand. Why? The reasons I list work for ME; they may not work for YOU:1) It's in a CLEAR bottle! I know, I know: having E.O.'s in blue/amber bottles protects them from the light, but so does storing them in a dark place. I like being able to SEE how much is used so I know when to buy more.2) It does NOT have a calibrated ""Rain Drop"" apeture in the top, meaning that you can POUR the oil out or use these micro measuring spoons when creating hair or bath products.Norpro 3080 Mini Measuring Spoons, 5 Piece Set3) PRICE!!!!! Compared to other company's with fancier labels and prettier bottles, this product is several dollars LESS expensive than the other brands, without losing a bit of effectiveness.4) Availability!!!! Since this product does NOT ship through Amazon Prime, there's no cost savings to me. Both my local Whole Foods and Trader Joe's sell this brand, so I am no more than a 10 minute drive in any direction when I am running low.Okay, those are the reasons why I buy THIS brand. Now, HOW do I use it and HOW has it helped me?1) For my body, Tea Tree Oil is Magical!!! Every single thing that you can find online with HOW this oil works, it responds that well in MY body! YOUR results may vary. Since discovering the sheer effectiveness on my system, I keep no less than SIX bottles in our lives: in my purse; in our first aid kits; and in every medicine cabinet. My family has been taught by me that Tea Tree Oil is thee FIRST response to ANYTHING that breaks the skin and it's kept our medical bills down to ZERO. Yes, ZERO!!!, in regards to the common things you go to the doctor for.2) I have had chronic and debilitating ear infections my entire life. As a child, I've spent weeks in hospital with infections that threatened my life. Countless surgeries on my ears have done NOTHING to stop the infections, which can come on in an hour. Now, as soon as I feel the Tell-Tale tingling in my ear, I grab my bottle of Tea Tree Oil and swipe it down the entire side of my face. I repeat this process every single hour until the tingling stops. Results? NO MORE EAR INFECTIONS AND NO MORE HOSPITALIZATIONS OR DOCTOR VISITS!!!3) When my family and I have a scratchy throat or have been subjected to anyone with a severe cold or the flu, we place a couple of drops on a cotton pad and then deeply inhale the vapors and hold it in our lungs for the count of five, then exhale and repeat the process. Since doing this, NO ONE in my family has had a cold or the flu in 8 years!!!! NO ONE!4) We have a Summer Cottage near a lake which means ticks, chiggers and mosquitoe bites. One drop of this oil on ANY of the following solves the itch, the pain and the resulting infections. We've seen ticks actually back out of the skin when a drop of this oil is placed on their backs!5) Tooth infections! I had four Wisdom Teeth extracted. After it was okay to rinse my mouth, I placed a drop of Tea Tree Oil in warm water and would rinse out my mouth when directed. When I went in for my check up, my dentist was SHOCKED at the healing of my gums and was suspicious as to WHY they had healed so well and so fast! Seriously, Dr.? Shouldn't you have just been HAPPY for me? LOL6) And for me, directly, the use of Tea Tree Oil in my daily job is a God Send! I'm a Landscape Architect with a staff of 17 men. Every single day, we get injured; it comes with the job. Whether it's a deep penetration of a thorn, a complete scraping of skin from a tree you're climbing, a deep knick when you're sharpening a pruner, or a massive sliver that got jammed into a palm, we have daily injuries. Since we can't stop work when this happens, we normally would just rinse the area off with a hose and continue working. More than half of the time, these injuries would get worse, with either the employee or myself loosing productivity or hours, because we couldn't use that hand or arm.Now, I've taught every one of my guys to come to me for treatment and they hold out their injury to receive some drops of Tea Tree Oil. At first, they were skeptical; now, some are SO convinced, they've had me buy bottles for their own homes. And for home use, this oil is amazing! I've had deep knife cuts from a knife slipping out of my hands while washing; I've had deep scratches from our dogs and cats when we've tried to corral them for the vet; and 100% of these injuries NEVER get infected nor turn pink or swollen if treated immediately with this oil. Healing time is 3-5 times faster than when left untreated.We've used this oil for acne, cold sores, tooth aches, ear infections, athlete's foot, insect bites and all manner of skin breaks. For whatever reasons, our DNA works with this oil. That's why I'm giving it such glowing reviews. YOUR results may NOT be the same.In closing, I'd recommend that you buy the smallest bottle possible, to keep it fresh and pure. In my home and purse, I buy the .05 ounce size and when it's half full, I buy a replacement bottle and store it in the frig. Remember, NOTHING that you put to the opening is sterile (cotton balls, swabs or your fingers!), so with each touch of the oil, you are contaminating it. So, buying a large 2 ounce bottle just allows the oil to become less and less effective. The one exception for me, is that for work I buy the 2 ounce bottle, simply because we go through one of those bottles at least once a month and it's more cost effective.Also, if you want to learn about more health benefits of essential oils, THIS book is the BEST there is!Aromatherapy: A Complete Guide to the Healing ArtI've been using this book since it was first published in 1995 and use it as my ""Betty Crocker"" default for healing common injuries and problems within my family. It's NEVER failed me in 18 years of use."
1,"This has been my goto color for more than 10 years.  I love it!  I hint of red, without overdoing it and looking fake.  Fake is fine, but not at my age!"
1,"I really like this mascara. I have to admit I was hoping for a brighter blue, but honestly this probably looks better than a really bright blue. It's subtle enough that you could wear it to the office and only those who were really paying attention would notice. It is what it says it is - a royal blue. But I think it does accentuate my blue eyes. And it's a lot more fun than plain old black or brown mascara!"
1,"I have waist length hair and this is the best comb I have found to prevent snarls after showering. What was a wrestling match with other combs is effortless with this one. It is easy on my head, doesn't pull any hair out. Great price. I highly recommend it!"
1,This works!! However my hair is long and down to my waist and I only got 2 uses out of it.
1,"This oil had a stronger odor than I expected.  I expected it to be more on the light side, but to me, it is a bit on the heavy side.  However, I used it in my office which is rather small.  Maybe it would be better in a larger room.so the odor can disperse more."
0,"The first time I used Avalon's Vitamin C eye cream, my eyes began to sting so badly that I was uncomfortable for 24 hours.  I thought that maybe I had used too much, so I tried again several days later with only a tiny amount, being careful to keep it away from my lashes.  My eyes still became uncomfortable. This is the exact opposite of what an eye cream should do.  The whole point of eye cream is to be thick enough not to melt and get into your eyes and, if it does, it should not sting. That's why eye cream is different than face cream. This one fails. I won't be using it again."
1,"As another reviewer mentioned, this is not a miracle worker - but it sure makes a difference between using it and not using it.I'm early 60's and have been using it about 6 years.  No, it doesn't make me look 45.  But it is wonderful at clarifying my skin and smoothing the texture of my face.  Not greasy or oily, and if you want more hydration, simply layer a moisturizer for that purpose over it.  I use it every day and love its light, velvety finish.  Plus, it beats the heck out of department store brand prices for products very similar in quality."
1,"As far as drugstore mascaras go, I have loved Full N Soft for years. Drugstore mascara is inexpensive, so I have often experimented with other brands/formulas - Maybelline, Revlon, L'Oreal, etc., but Full N Soft is the one I come back to. It is great in a single coat and also builds well. If building, I recommend using a clean mascara brush to separate between coats. If during the day your lashes get bent (this happens to me with sun and prescription glasses), use your finger to apply pressure and curve lashes back in place. The flexible formula will re-mold. No flakes, no mess.The brownish-black is natural and minky-coloured. The super black is dramatically black!"
1,"I have acne prone, oily and sensitive skin. I've used this product for a couple of months. It's not a very light product. It leaves a residue  and is absorbed very slowly. It could leave a greasy feeling all day long. Over time, I noticed my skin got softer but I didn't notice any other claimed benefits.At least it didn't cause acne. It could be a little bit better than regular moisturizers if you have a normal to dry skin."
1,We were using coconut oil until my mom introduced us to the apricot kernel oil. It is wonderful! Much lighter and doesn't have a strong smell. Will keep using for all moisturizing needs...
1,"Out of my two favourite brands, Opi comes on top over China Glaze. In particular, my favourites from Opi are Russian Navy and Jade is the New Black. The jade colour is rich and highly pigmented, and will last quite a while if used correctly and a base and top coat are applied to the nail. The only thing I don't like about Opi products is that some of the names that are meant to be cleverly humourous aren't hitting the target (like their German collection. Some of the names were worthy of a sigh and and a roll of the eyes). But eh, each to their own."
1,"Neutrogena Fresh foaming cleanser is amazing. It Removes make up easily,even waterproof, and it doesn't sting if it gets in your eyes. It also clears you skin of dirt and oil which would have caused blemishes. This is not an acne fighting product it just cleans your skin and removes makeup. Since i started using this my face is noticeably smoother and softer. I love Neutrogena!"
